strainID	sample	scaffold	mean	trimmed_mean	covered_fraction	covered_bases	variance	length	read_count	reads_per_base	bamname	FILTER
HAMBI_0006	SH-MET-121	HAMBI_0006_chrm01_circ	0.038800832	0	0.027174152	178255	0.12142334	6559726	2626	4.003216e-4	HAMBI_0006-SH-MET-121	TRUE
HAMBI_0006	SH-MET-122	HAMBI_0006_chrm01_circ	0.011823325	0	0.003520574	23094	0.066177614	6559726	812	1.2378566e-4	HAMBI_0006-SH-MET-122	TRUE
HAMBI_0006	SH-MET-123	HAMBI_0006_chrm01_circ	0.011028305	0	0.0029513428	19360	0.06546479	6559726	772	1.1768784e-4	HAMBI_0006-SH-MET-123	TRUE
HAMBI_0006	SH-MET-124	HAMBI_0006_chrm01_circ	0.012209631	0	0.010679562	70055	0.01626144	6559726	848	1.2927369e-4	HAMBI_0006-SH-MET-124	TRUE
HAMBI_0006	SH-MET-125	HAMBI_0006_chrm01_circ	0.002215387	0	0.0014271938	9362	0.004450869	6559726	148	2.2561919e-5	HAMBI_0006-SH-MET-125	TRUE
HAMBI_0006	SH-MET-126	HAMBI_0006_chrm01_circ	0.005721711	0	0.0024613834	16146	0.019114539	6559726	400	6.0978156e-5	HAMBI_0006-SH-MET-126	TRUE
HAMBI_0006	SH-MET-127	HAMBI_0006_chrm01_circ	0.0072715064	0	0.0025825773	16941	0.031418674	6559726	492	7.500313e-5	HAMBI_0006-SH-MET-127	TRUE
HAMBI_0006	SH-MET-128	HAMBI_0006_chrm01_circ	1.0809487	0.9808494	0.6335978	4156228	1.2534859	6559726	71102	0.010839173	HAMBI_0006-SH-MET-128	TRUE
HAMBI_0006	SH-MET-129	HAMBI_0006_chrm01_circ	1.5641555	1.4552535	0.76839995	5040493	1.9833614	6559726	103443	0.015769409	HAMBI_0006-SH-MET-129	TRUE
HAMBI_0006	SH-MET-130	HAMBI_0006_chrm01_circ	0.0037020685	0	0.0021288998	13965	0.008753326	6559726	261	3.9788247e-5	HAMBI_0006-SH-MET-130	TRUE
HAMBI_0006	SH-MET-131	HAMBI_0006_chrm01_circ	0.0035569372	0	0.002985643	19585	0.0049928552	6559726	265	4.039803e-5	HAMBI_0006-SH-MET-131	TRUE
HAMBI_0006	SH-MET-132	HAMBI_0006_chrm01_circ	0.010532998	0	0.003442522	22582	0.05500208	6559726	740	1.1280959e-4	HAMBI_0006-SH-MET-132	TRUE
HAMBI_0006	SH-MET-133	HAMBI_0006_chrm01_circ	0.3519043	0.26139882	0.28264457	1854071	0.45132455	6559726	23236	0.0035422212	HAMBI_0006-SH-MET-133	TRUE
HAMBI_0006	SH-MET-134	HAMBI_0006_chrm01_circ	0.39711562	0.31128702	0.3157344	2071131	0.46464863	6559726	26134	0.003984008	HAMBI_0006-SH-MET-134	TRUE
HAMBI_0006	SH-MET-135	HAMBI_0006_chrm01_circ	0.008192603	0	0.0026264817	17229	0.038401227	6559726	573	8.735121e-5	HAMBI_0006-SH-MET-135	TRUE
HAMBI_0006	SH-MET-136	HAMBI_0006_chrm01_circ	0.0015104635	0	0.0011672743	7657	0.002431108	6559726	124	1.8903229e-5	HAMBI_0006-SH-MET-136	TRUE
HAMBI_0006	SH-MET-137	HAMBI_0006_chrm01_circ	9.6515386e-4	0	7.299085e-4	4788	0.001645974	6559726	90	1.3720085e-5	HAMBI_0006-SH-MET-137	TRUE
HAMBI_0006	SH-MET-138	HAMBI_0006_chrm01_circ	0.0011586115	0	8.6832896e-4	5696	0.0018731693	6559726	96	1.46347575e-5	HAMBI_0006-SH-MET-138	TRUE
HAMBI_0006	SH-MET-139	HAMBI_0006_chrm01_circ	0.024123969	0	0.0035759115	23457	0.2765654	6559726	1669	2.5443136e-4	HAMBI_0006-SH-MET-139	TRUE
HAMBI_0006	SH-MET-140	HAMBI_0006_chrm01_circ	0.014702322	0	0.0030210104	19817	0.12287093	6559726	969	1.4771959e-4	HAMBI_0006-SH-MET-140	TRUE
HAMBI_0006	SH-MET-141	HAMBI_0006_chrm01_circ	0.013748907	0	0.0029277138	19205	0.11048444	6559726	921	1.404022e-4	HAMBI_0006-SH-MET-141	TRUE
HAMBI_0006	SH-MET-142	HAMBI_0006_chrm01_circ	0.028505197	0	0.0036518294	23955	0.38704702	6559726	1996	3.04281e-4	HAMBI_0006-SH-MET-142	TRUE
HAMBI_0006	SH-MET-143	HAMBI_0006_chrm01_circ	0.006048257	0	0.0023709831	15553	0.02248866	6559726	410	6.250261e-5	HAMBI_0006-SH-MET-143	TRUE
HAMBI_0006	SH-MET-144	HAMBI_0006_chrm01_circ	0.020658042	0	0.003210805	21062	0.22061409	6559726	1420	2.1647246e-4	HAMBI_0006-SH-MET-144	TRUE
HAMBI_0006	SH-MET-145	HAMBI_0006_chrm01_circ	0.0062885163	0	0.0024656518	16174	0.023683943	6559726	439	6.692353e-5	HAMBI_0006-SH-MET-145	TRUE
HAMBI_0006	SH-MET-146	HAMBI_0006_chrm01_circ	0.0010579953	0	8.517124e-4	5587	0.0015712386	6559726	87	1.3262749e-5	HAMBI_0006-SH-MET-146	TRUE
HAMBI_0006	SH-MET-147	HAMBI_0006_chrm01_circ	0.0018405153	0	0.0012983774	8517	0.0033058207	6559726	124	1.8903229e-5	HAMBI_0006-SH-MET-147	TRUE
HAMBI_0006	SH-MET-148	HAMBI_0006_chrm01_circ	6.119298e-4	0	5.4849853e-4	3598	7.877864e-4	6559726	56	8.536942e-6	HAMBI_0006-SH-MET-148	TRUE
HAMBI_0006	SH-MET-149	HAMBI_0006_chrm01_circ	7.3205953e-4	0	6.381364e-4	4186	9.614167e-4	6559726	50	7.6222695e-6	HAMBI_0006-SH-MET-149	TRUE
HAMBI_0006	SH-MET-150	HAMBI_0006_chrm01_circ	3.7776833e-4	0	3.0809213e-4	2021	5.925786e-4	6559726	40	6.0978155e-6	HAMBI_0006-SH-MET-150	TRUE
HAMBI_0006	SH-MET-151	HAMBI_0006_chrm01_circ	0.016821971	0	0.0031220815	20480	0.14702031	6559726	1134	1.7287307e-4	HAMBI_0006-SH-MET-151	TRUE
HAMBI_0006	SH-MET-152	HAMBI_0006_chrm01_circ	0.005857696	0	0.0023783005	15601	0.020495066	6559726	399	6.082571e-5	HAMBI_0006-SH-MET-152	TRUE
HAMBI_0006	SH-MET-153	HAMBI_0006_chrm01_circ	0.016958414	0	0.003008967	19738	0.1615229	6559726	1122	1.7104374e-4	HAMBI_0006-SH-MET-153	TRUE
HAMBI_0006	SH-MET-154	HAMBI_0006_chrm01_circ	0.026340574	0	0.0034987743	22951	0.3423441	6559726	1818	2.7714574e-4	HAMBI_0006-SH-MET-154	TRUE
HAMBI_0006	SH-MET-155	HAMBI_0006_chrm01_circ	0.0019022571	0	0.0013659107	8960	0.00334233	6559726	130	1.98179e-5	HAMBI_0006-SH-MET-155	TRUE
HAMBI_0006	SH-MET-156	HAMBI_0006_chrm01_circ	0.027287435	0	0.003408374	22358	0.3753822	6559726	1837	2.8004218e-4	HAMBI_0006-SH-MET-156	TRUE
HAMBI_0097	SH-MET-121	HAMBI_0097_chrm01_circ	3.4662808e-4	0	2.4957297e-4	841	5.5127975e-4	3369756	23	6.82542e-6	HAMBI_0097-SH-MET-121	TRUE
HAMBI_0097	SH-MET-121	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-121	TRUE
HAMBI_0097	SH-MET-121	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-121	TRUE
HAMBI_0097	SH-MET-122	HAMBI_0097_chrm01_circ	2.0477171e-4	0	2.047626e-4	690	2.0472985e-4	3369756	14	4.1546036e-6	HAMBI_0097-SH-MET-122	TRUE
HAMBI_0097	SH-MET-122	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-122	TRUE
HAMBI_0097	SH-MET-122	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-122	TRUE
HAMBI_0097	SH-MET-123	HAMBI_0097_chrm01_circ	2.5047438e-4	0	1.8191228e-4	613	4.0888725e-4	3369756	16	4.748118e-6	HAMBI_0097-SH-MET-123	TRUE
HAMBI_0097	SH-MET-123	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-123	TRUE
HAMBI_0097	SH-MET-123	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-123	TRUE
HAMBI_0097	SH-MET-124	HAMBI_0097_chrm01_circ	4.564332e-4	0	3.2672987e-4	1101	7.725826e-4	3369756	36	1.0683266e-5	HAMBI_0097-SH-MET-124	TRUE
HAMBI_0097	SH-MET-124	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-124	TRUE
HAMBI_0097	SH-MET-124	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-124	TRUE
HAMBI_0097	SH-MET-125	HAMBI_0097_chrm01_circ	0	0	0	0	0	3369756	0	0	HAMBI_0097-SH-MET-125	TRUE
HAMBI_0097	SH-MET-125	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-125	TRUE
HAMBI_0097	SH-MET-125	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-125	TRUE
HAMBI_0097	SH-MET-126	HAMBI_0097_chrm01_circ	2.581904e-4	0	1.8339607e-4	618	4.581473e-4	3369756	14	4.1546036e-6	HAMBI_0097-SH-MET-126	TRUE
HAMBI_0097	SH-MET-126	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-126	TRUE
HAMBI_0097	SH-MET-126	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-126	TRUE
HAMBI_0097	SH-MET-127	HAMBI_0097_chrm01_circ	9.9714925e-5	0	8.160828e-5	275	1.3591103e-4	3369756	6	1.7805444e-6	HAMBI_0097-SH-MET-127	TRUE
HAMBI_0097	SH-MET-127	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-127	TRUE
HAMBI_0097	SH-MET-127	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-127	TRUE
HAMBI_0097	SH-MET-128	HAMBI_0097_chrm01_circ	1.0683742e-4	0	7.626665e-5	257	1.679608e-4	3369756	6	1.7805444e-6	HAMBI_0097-SH-MET-128	TRUE
HAMBI_0097	SH-MET-128	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-128	TRUE
HAMBI_0097	SH-MET-128	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-128	TRUE
HAMBI_0097	SH-MET-129	HAMBI_0097_chrm01_circ	6.0007017e-4	0	3.4720614e-4	1170	0.0017250647	3369756	38	1.1276781e-5	HAMBI_0097-SH-MET-129	TRUE
HAMBI_0097	SH-MET-129	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-129	TRUE
HAMBI_0097	SH-MET-129	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-129	TRUE
HAMBI_0097	SH-MET-130	HAMBI_0097_chrm01_circ	2.8846101e-4	0	1.8755067e-4	632	5.133301e-4	3369756	16	4.748118e-6	HAMBI_0097-SH-MET-130	TRUE
HAMBI_0097	SH-MET-130	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-130	TRUE
HAMBI_0097	SH-MET-130	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-130	TRUE
HAMBI_0097	SH-MET-131	HAMBI_0097_chrm01_circ	4.2913028e-4	0	3.1100176e-4	1048	7.2571693e-4	3369756	22	6.5286627e-6	HAMBI_0097-SH-MET-131	TRUE
HAMBI_0097	SH-MET-131	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-131	TRUE
HAMBI_0097	SH-MET-131	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-131	TRUE
HAMBI_0097	SH-MET-132	HAMBI_0097_chrm01_circ	1.7746881e-4	0	1.4570788e-4	491	2.409463e-4	3369756	14	4.1546036e-6	HAMBI_0097-SH-MET-132	TRUE
HAMBI_0097	SH-MET-132	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-132	TRUE
HAMBI_0097	SH-MET-132	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-132	TRUE
HAMBI_0097	SH-MET-133	HAMBI_0097_chrm01_circ	1.8281069e-4	0	1.5965548e-4	538	2.2907356e-4	3369756	8	2.374059e-6	HAMBI_0097-SH-MET-133	TRUE
HAMBI_0097	SH-MET-133	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-133	TRUE
HAMBI_0097	SH-MET-133	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-133	TRUE
HAMBI_0097	SH-MET-134	HAMBI_0097_chrm01_circ	3.211058e-4	0	2.4601188e-4	829	5.121231e-4	3369756	20	5.935148e-6	HAMBI_0097-SH-MET-134	TRUE
HAMBI_0097	SH-MET-134	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-134	TRUE
HAMBI_0097	SH-MET-134	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-134	TRUE
HAMBI_0097	SH-MET-135	HAMBI_0097_chrm01_circ	1.756882e-4	0	1.664809e-4	561	1.9405717e-4	3369756	10	2.967574e-6	HAMBI_0097-SH-MET-135	TRUE
HAMBI_0097	SH-MET-135	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-135	TRUE
HAMBI_0097	SH-MET-135	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-135	TRUE
HAMBI_0097	SH-MET-136	HAMBI_0097_chrm01_circ	2.9914477e-4	0	2.430443e-4	819	4.2607324e-4	3369756	20	5.935148e-6	HAMBI_0097-SH-MET-136	TRUE
HAMBI_0097	SH-MET-136	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-136	TRUE
HAMBI_0097	SH-MET-136	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-136	TRUE
HAMBI_0097	SH-MET-137	HAMBI_0097_chrm01_circ	3.2763474e-4	0	2.2197452e-4	748	5.8215676e-4	3369756	18	5.341633e-6	HAMBI_0097-SH-MET-137	TRUE
HAMBI_0097	SH-MET-137	HAMBI_0097_plas01_circ	0	0	0	0	0	128977	0	0	HAMBI_0097-SH-MET-137	TRUE
HAMBI_0097	SH-MET-137	HAMBI_0097_plas02_circ	0	0	0	0	0	8456	0	0	HAMBI_0097-SH-MET-137	TRUE
HAMBI_0097	SH-MET-138	HAMBI_0097_chrm01_circ	5.240969e-4	0	3.1604661e-4	1065	0.0011411054	3369756	30	8.902722e-6	HAMBI_0097-SH-MET-138	TRUE
