PC1	PC2	replicate	prey_history	predator_history	time_days	d	range
5.13405991238789	-3.269936649878717	A	anc	anc	8	3.937912445545032	4-8
6.47695558159892	-3.5558750199849674	A	anc	anc	12	1.3730001929660314	8-12
6.312119034735458	-3.8661219713215016	A	anc	anc	16	0.3513178873833273	12-16
0.6153820645984365	-5.422874644859239	A	anc	anc	20	5.905615208722359	16-20
4.908795972459157	-3.6545180290987163	A	anc	anc	24	4.643327266596215	20-24
5.390063475237491	-2.8209674960899416	A	anc	anc	28	0.962509688423813	24-28
5.324225295766163	-7.158784955653078	A	anc	anc	32	4.338317067523636	28-32
6.04014188208401	-4.806950759012667	A	anc	anc	36	2.4583857807618896	32-36
4.561378898308677	-6.4803249620746	A	anc	anc	40	2.2331415507435444	36-40
3.9421699176203524	-6.989336369449112	A	anc	anc	44	0.8015686961218327	40-44
4.022183140502511	-5.991692414570562	A	anc	anc	48	1.000847429202725	44-48
4.159701070195798	-5.504335463380292	A	anc	anc	52	0.5063871827570319	48-52
3.5839328108768305	-7.000042408779653	A	anc	anc	56	1.6027003322377775	52-56
3.9575190427799747	-6.5813691053878935	A	anc	anc	60	0.5611185326119236	56-60
3.50078325068306	0.6061342299691134	A	anc	evo	8	5.583496428200842	4-8
6.221859175378042	1.2057447824168974	A	anc	evo	12	2.7863572998740467	8-12
4.959154882695574	2.1016461300438887	A	anc	evo	16	1.548244604524295	12-16
4.385272763105452	1.623356270028383	A	anc	evo	20	0.7470621643336672	16-20
6.069051213131277	1.9868898113330544	A	anc	evo	24	1.7225755438949215	20-24
3.864218713843166	1.3628731828074327	A	anc	evo	28	2.291436907836116	24-28
1.06514235134296	1.954241184492367	A	anc	evo	32	2.8608643093520216	28-32
1.8741506535781347	1.2529821571868156	A	anc	evo	36	1.0706346979539603	32-36
2.996114778122259	1.387471509696367	A	anc	evo	40	1.1299959657903658	36-40
3.2002451700363603	1.8232311213858323	A	anc	evo	44	0.4812023026573732	40-44
2.8452147957733205	1.6675905415811827	A	anc	evo	48	0.38764746449742404	44-48
2.44030742323232	1.9598201793271448	A	anc	evo	52	0.49934771604082934	48-52
1.4519210348266398	1.7272385695660069	A	anc	evo	56	1.015382616546446	52-56
0.6651655845938949	1.4947979182755966	A	anc	evo	60	0.8203735702978487	56-60
-3.8456858553112516	-1.507107406594381	A	evo	anc	8	5.312488189611696	4-8
-2.124766513918585	-0.08976823627661236	A	evo	anc	12	2.2294424646750652	8-12
-2.699221468152342	0.8739284345888412	A	evo	anc	16	1.1219223537664564	12-16
-2.34430563395857	0.1123137573958889	A	evo	anc	20	0.8402512516367863	16-20
-2.0576084315800065	2.7816846136329394	A	evo	anc	24	2.684722714542308	20-24
1.7907233789560588	1.7900295638565464	A	evo	anc	28	3.9740454780652437	24-28
-3.069785701256132	4.356838515944151	A	evo	anc	32	5.496640493550786	28-32
-2.8779650154248073	4.564375849953043	A	evo	anc	36	0.2826073610511907	32-36
-3.052415409344576	3.9325225018490335	A	evo	anc	40	0.6554933969530198	36-40
-2.661121997037608	4.618542270070441	A	evo	anc	44	0.78976810324638	40-44
-3.096692714168878	4.440832008308933	A	evo	anc	48	0.4704283013994717	44-48
-2.9048900257379797	3.991959191906865	A	evo	anc	52	0.48813428131411246	48-52
-2.318131005019184	3.9290360946458054	A	evo	anc	56	0.5901232621781699	52-56
-3.1805740848812274	4.867895876086075	A	evo	anc	60	1.2748591119053105	56-60
-4.138048138453603	1.1796666702306324	A	evo	evo	8	4.376827821636514	4-8
-5.2808673579061605	0.3239265472284048	A	evo	evo	12	1.4276998726854397	8-12
-3.9438874603403473	0.6024558904319903	A	evo	evo	16	1.3656843857643364	12-16
-3.485573666351612	2.6956248718307676	A	evo	evo	20	2.1427570833975427	16-20
-1.9490399801538696	3.537608750445736	A	evo	evo	24	1.7521051968040986	20-24
-3.721347203735636	2.506220915206881	A	evo	evo	28	2.0505691311045333	24-28
-5.473802276242678	2.8444069840828594	A	evo	evo	32	1.7847881102073289	28-32
-5.051085768904625	3.3865069396818153	A	evo	evo	36	0.6874311655987615	32-36
-5.581633721392151	2.8222331269092327	A	evo	evo	40	0.7745231214557861	36-40
-5.377552634304839	2.95193429705722	A	evo	evo	44	0.24180877495346656	40-44
-6.1235132906385035	2.6437732095640465	A	evo	evo	48	0.8071062858401774	44-48
-5.095419168125929	3.427858706918349	A	evo	evo	52	1.2929685193020921	48-52
2.176531235469636	-2.3760322056929986	A	evo	evo	56	9.304107286453993	52-56
-5.839790173359641	2.716846064541608	A	evo	evo	60	9.49730582876441	56-60
6.743198055516096	-0.30535541755038365	C	anc	anc	8	5.819680198239841	4-8
6.834129113759793	-0.7044937857486918	C	anc	anc	12	0.4093652334057287	8-12
5.795534075765702	-1.201468099454916	C	anc	anc	16	1.1513744488348345	12-16
1.7787381576165522	-3.633422989214161	C	anc	anc	20	4.695642025738714	16-20
7.264789004935293	-0.6733181897381757	C	anc	anc	24	6.233696682005585	20-24
5.674039427690438	-1.3092866539854375	C	anc	anc	28	1.7131666892108612	24-28
7.077626551697242	-1.3002863076180304	C	anc	anc	32	1.4036159805703354	28-32
7.765948741916967	-0.6075485680737642	C	anc	anc	36	0.9765618328287147	32-36
5.43072122156046	-0.922174444929624	C	anc	anc	40	2.3563270176734212	36-40
5.16500010976368	-0.7480944327612629	C	anc	anc	44	0.3176657990578362	40-44
5.044017216681829	-1.0117298637963896	C	anc	anc	48	0.2900698207596434	44-48
6.404944329316049	-0.4897401191775411	C	anc	anc	52	1.4575993617555423	48-52
6.599202395329289	-0.25545156443902045	C	anc	anc	56	0.3043473724096684	52-56
5.752843717748967	-0.2528626379824111	C	anc	anc	60	0.8463626372044722	56-60
4.1679240330701095	1.2063004962299553	C	anc	evo	8	6.139145495540598	4-8
3.116382776810811	2.487013311187911	C	anc	evo	12	1.6570951475437117	8-12
6.266423946901972	1.7367208363382165	C	anc	evo	16	3.2381627771138013	12-16
2.6544514841493587	2.742877485905644	C	anc	evo	20	3.7494928023870013	16-20
5.779841952853232	1.4460351632906392	C	anc	evo	24	3.383765002418238	20-24
5.353108768445651	1.6307783635346318	C	anc	evo	28	0.46500673189861097	24-28
4.71732510915144	0.8477997923586734	C	anc	evo	32	1.0086011621777375	28-32
5.005455751132173	1.6391664062137044	C	anc	evo	36	0.8421878557498956	32-36
5.323222598026686	2.4568392165702027	C	anc	evo	40	0.8772483079388499	36-40
4.867854528833468	2.572814017773538	C	anc	evo	44	0.46990449343979757	40-44
5.645693505210228	1.8637416590634557	C	anc	evo	48	1.0525288989179942	44-48
5.356187496769988	1.5117732434491142	C	anc	evo	52	0.45573621154465005	48-52
2.774963151813222	2.3035261207807736	C	anc	evo	56	2.6999243948230194	52-56
2.3805362883020917	3.503513177790254	C	anc	evo	60	1.2631474528531899	56-60
-2.1251943075323045	-5.726928761789671	C	evo	anc	8	2.520494128162575	4-8
